,premier,home,away,time
83,Guatemalan Liga Nacional,Xelaju,Comunicaciones,2018-12-09 19:00
84,Indian Super League,Bengaluru FC,Mumbai City FC,2018-12-09 09:00
85,Honduran Primera Division,Olimpia,CD Motagua,2018-12-09 17:00
86,Indian I-League,Churchill Brothers,Aizawl FC,2018-12-09 06:30
87,Indonesian Super League,Arema Indonesia,Sriwijaya,2018-12-09 03:30
88,Indonesian Super League,Persija,Mitra Kukar,2018-12-09 03:30
89,Indonesian Super League,Persipura,Perseru,2018-12-09 03:30
90,Indonesian Super League,PSM Makassar,PSMS Medan,2018-12-09 03:30
91,Indonesian Super League,Pusamania Borneo,PS TIRA,2018-12-09 03:30
92,South African First Division,TS Galaxy,Stellenbosch FC,2018-12-09 08:30
93,Ugandan Super League,Vipers,Police FC,2018-12-09 08:00
94,English Premier League,Everton,Watford,2018-12-10 15:00
95,Spanish Primera División,Athletic Bilbao,Girona,2018-12-10 15:00
96,Portuguese Liga,Feirense,Maritimo,2018-12-10 15:15
97,Russian Premier League,Akhmat Grozny,FC Arsenal Tula,2018-12-10 11:30
98,Turkish Super Lig,Ankaragucu,Istanbul Basaksehir,2018-12-10 12:00
99,Turkish Super Lig,Kasimpasa,Kayserispor,2018-12-10 12:00
100,Greek Super League,Panetolikos,Apollon Smyrni,2018-12-10 12:00
101,Greek Super League,Panionios,Levadiakos,2018-12-10 12:30
102,Danish SAS-Ligaen,FC Nordsjaelland,AGF Aarhus,2018-12-10 13:00
103,Israeli Premier League,Hapoel Tel Aviv,Beitar Jerusalem,2018-12-10 14:00
104,Romanian First Division,Sepsi Sfantu Gheorghe,FC Botosani,2018-12-10 10:30
105,Romanian First Division,Universitatea Craiova,Voluntari,2018-12-10 13:00
106,Argentine Superliga,Patronato,Vélez Sarsfield,2018-12-10 17:00
107,Argentine Superliga,Belgrano de Córdoba,Tigre,2018-12-10 19:15
108,Argentine Nacional B,Almagro,Ctral. Córdoba SE,2018-12-10 15:00
109,Argentine Nacional B,Arsenal de Sarandí,Nueva Chicago,2018-12-10 19:05
110,Argentine Nacional B,Mitre (SE),Deportivo Morón,2018-12-10 20:00
111,Argentine Primera B,Comunicaciones (Mercedes),Deportivo Español,2018-12-10 15:00
112,Argentine Primera B,Justo José Urquiza,Acassuso,2018-12-10 15:00
113,Argentine Primera B,Sacachispas,Estudiantes de Caseros,2018-12-10 15:00
114,Argentine Primera C,Argentino Quilmes,Berazategui,2018-12-10 15:00
115,Argentine Primera C,Deportivo Laferrere,Excursionistas,2018-12-10 15:00
116,Argentine Primera C,Luján,El Porvenir,2018-12-10 15:00
117,Argentine Primera D,Atlas,Argentino Rosario,2018-12-10 15:00
118,Argentine Primera D,Defensores Cambaceres,Lugano,2018-12-10 15:00
119,Argentine Primera D,Deportivo Muñiz,Puerto Nuevo,2018-12-10 15:00
120,Italian Serie B,Salernitana,Brescia,2018-12-10 15:00
121,German 2. Bundesliga,VfL Bochum,St Pauli,2018-12-10 14:30
122,Dutch Eerste Divisie,AZ Reserves,SC Stormvogels Telstar,2018-12-10 14:00
123,Dutch Eerste Divisie,Jong PSV,SC Cambuur,2018-12-10 14:00
124,Bolivian Liga Profesional,Blooming,Nacional Potosí,2018-12-10 19:30
125,UEFA Champions League,Galatasaray,FC Porto,2018-12-11 12:55
126,UEFA Champions League,Schalke 04,Lokomotiv Moscow,2018-12-11 12:55
127,UEFA Champions League,AS Monaco,Borussia Dortmund,2018-12-11 15:00
128,UEFA Champions League,Barcelona,Tottenham Hotspur,2018-12-11 15:00
129,UEFA Champions League,Club Brugge,Atletico Madrid,2018-12-11 15:00
130,UEFA Champions League,Internazionale,PSV Eindhoven,2018-12-11 15:00
131,UEFA Champions League,Liverpool,Napoli,2018-12-11 15:00
132,UEFA Champions League,Red Star Belgrade,Paris Saint-Germain,2018-12-11 15:00
133,English FA Cup,Bradford City,Peterborough United,2018-12-11 14:45
134,English FA Cup,Newport County,Wrexham,2018-12-11 14:45
135,English FA Cup,Sunderland,Walsall,2018-12-11 14:45
136,Scottish Premiership,Aberdeen,Livingston,2018-12-11 14:45
137,Argentine Nacional B,Santamarina,Sarmiento de Junín,2018-12-11 19:05
138,Argentine Primera B,Barracas Central,Deportivo Riestra,2018-12-11 15:00
139,Argentine Primera B,Colegiales,Deportivo Riestra,2018-12-11 15:00
140,Argentine Primera B,Talleres de Remedios de Escalada,Atlanta,2018-12-11 17:30
141,Argentine Primera C,Dock Sud,Central Córdoba de Rosario,2018-12-11 15:00
142,Argentine Primera D,Central Ballester,Liniers,2018-12-11 15:00
143,Argentine Primera D,Centro Español,Claypole,2018-12-11 15:00
144,English EFL Trophy,Rochdale,Oldham Athletic,2018-12-11 14:00
145,English League One,Portsmouth,Charlton Athletic,2018-12-11 14:45
146,Scottish League Two,Edinburgh City,Peterhead,2018-12-11 14:45
147,AFF Cup,Malaysia,Vietnam,2018-12-11 07:45
148,Indian Super League,FC Pune City,FC Goa,2018-12-11 09:00
149,Indian I-League,Real Kashmir,Shillong Lajong,2018-12-11 03:30
150,South African Premiership,Cape Town City FC,Chippa United,2018-12-11 12:30
151,South African Premiership,Free State Stars,Orlando Pirates,2018-12-11 12:30
152,South African Premiership,Mamelodi Sundowns,Baroka FC,2018-12-11 12:30
153,South African Premiership,Polokwane City FC,Highlands Park FC,2018-12-11 12:30
154,UEFA Champions League,Real Madrid,CSKA Moscow,2018-12-12 12:55
155,UEFA Champions League,Viktoria Plzen,AS Roma,2018-12-12 12:55
156,UEFA Champions League,Ajax Amsterdam,Bayern Munich,2018-12-12 15:00
157,UEFA Champions League,Benfica,AEK Athens,2018-12-12 15:00
158,UEFA Champions League,Manchester City,TSG Hoffenheim,2018-12-12 15:00
159,UEFA Champions League,Shakhtar Donetsk,Lyon,2018-12-12 15:00
160,UEFA Champions League,Valencia,Manchester United,2018-12-12 15:00
161,UEFA Champions League,Young Boys,Juventus,2018-12-12 15:00
162,CONMEBOL Copa Sudamericana,Atlético-PR,Atlético Junior,2018-12-12 18:45
163,FIFA Club World Cup,Al-Ain,Team Wellington,2018-12-12 10:30
164,Argentine Nacional B,Defensores de Belgrano,Temperley,2018-12-12 18:05
165,Argentine Primera B,Almirante Brown,UAI Urquiza,2018-12-12 15:00
166,Argentine Primera D,Deportivo Paraguayo,Juventud Unida San Miguel,2018-12-12 15:00
167,Peruvian Primera Profesional,Alianza Lima,Sporting Cristal,2018-12-12 20:00
168,Bolivian Liga Profesional,Aurora,Destroyers,2018-12-12 15:00
169,Bolivian Liga Profesional,Blooming,San José,2018-12-12 15:00
170,Bolivian Liga Profesional,Bolívar,Real Potosí,2018-12-12 15:00
171,Bolivian Liga Profesional,Nacional Potosí,The Strongest,2018-12-12 15:00
172,Bolivian Liga Profesional,Royal Pari,Oriente Petrolero,2018-12-12 15:00
173,Bolivian Liga Profesional,Sport Boys Warnes,Wilstermann,2018-12-12 15:00
174,Bolivian Liga Profesional,Universitario de Sucre,Guabirá,2018-12-12 15:00
175,Indian Super League,Jamshedpur FC,Delhi Dynamos FC,2018-12-12 09:00
176,South African Premiership,Amazulu,Bloem Celtic,2018-12-12 12:30
177,South African Premiership,Bidvest Wits,Golden Arrows,2018-12-12 12:30
178,South African Premiership,Kaizer Chiefs,SuperSport United,2018-12-12 12:30
179,South African Premiership,Maritzburg Utd,Black Leopards,2018-12-12 12:30
180,UEFA Europa League,Akhisar Belediyespor,Standard Liege,2018-12-13 12:55
181,UEFA Europa League,Besiktas,Malmo FF,2018-12-13 12:55
182,UEFA Europa League,Dynamo Kiev,Jablonec,2018-12-13 12:55
183,UEFA Europa League,Lazio,Eintracht Frankfurt,2018-12-13 12:55
184,UEFA Europa League,Marseille,Apollon Limassol,2018-12-13 12:55
185,UEFA Europa League,PAOK Salonika,BATE Borisov,2018-12-13 12:55
186,UEFA Europa League,Racing Genk,Sarpsborg FK,2018-12-13 12:55
187,UEFA Europa League,Rapid Vienna,Rangers,2018-12-13 12:55
188,UEFA Europa League,Sevilla FC,Krasnodar,2018-12-13 12:55
189,UEFA Europa League,Stade Rennes,FC Astana,2018-12-13 12:55
190,UEFA Europa League,Vidi,Chelsea,2018-12-13 12:55
191,UEFA Europa League,Villarreal,Spartak Moscow,2018-12-13 12:55
192,UEFA Europa League,AEK Larnaca,Bayer Leverkusen,2018-12-13 15:00
193,UEFA Europa League,Arsenal,FK Qarabag,2018-12-13 15:00
194,UEFA Europa League,Celtic,FC Salzburg,2018-12-13 15:00
195,UEFA Europa League,Dinamo Zagreb,Anderlecht,2018-12-13 15:00
196,UEFA Europa League,F91 Dudelange,Real Betis,2018-12-13 15:00
197,UEFA Europa League,FC Copenhagen,Bordeaux,2018-12-13 15:00
198,UEFA Europa League,FC Spartak Trnava,Fenerbahce,2018-12-13 15:00
199,UEFA Europa League,Ludogorets Razgrad,FC Zürich,2018-12-13 15:00
200,UEFA Europa League,Olympiakos,AC Milan,2018-12-13 15:00
201,UEFA Europa League,RB Leipzig,Rosenborg,2018-12-13 15:00
202,UEFA Europa League,Slavia Prague,Zenit St Petersburg,2018-12-13 15:00
203,UEFA Europa League,Sporting CP,Vorskla,2018-12-13 15:00
204,Argentine Superliga,Huracán,Argentinos Juniors,2018-12-13 19:00
205,Argentine Primera B,Comunicaciones (Mercedes),Tristán Suárez,2018-12-13 15:00
206,Indian Super League,Bengaluru FC,ATK,2018-12-13 09:00
207,Spanish Primera División,Celta Vigo,Leganes,2018-12-14 15:00
208,German Bundesliga,Nurnberg,VfL Wolfsburg,2018-12-14 14:30
209,French Ligue 1,Nice,Saint-Etienne,2018-12-14 14:45
210,English League Championship,Sheffield United,West Bromwich Albion,2018-12-14 14:45
211,Dutch Eredivisie,Willem II Tilburg,ADO Den Haag,2018-12-14 14:00
212,Portuguese Liga,Portimonense,Vitoria Setubal,2018-12-14 14:00
213,Portuguese Liga,Braga,Feirense,2018-12-14 16:15
214,Scottish Premiership,Livingston,Heart of Midlothian,2018-12-14 14:45
215,Turkish Super Lig,Goztepe,Bursaspor,2018-12-14 12:30
216,Belgian First Division A,Royal Charleroi SC,KAA Gent,2018-12-14 14:30
217,Danish SAS-Ligaen,Odense Boldklub,AaB,2018-12-14 13:00
218,Australian A-League,Brisbane Roar,Melbourne Victory,2018-12-14 03:50
219,Romanian First Division,Concordia Chiajna,CSMS Iasi,2018-12-14 13:00
220,Spanish Segunda División,Málaga,Cádiz,2018-12-14 15:00
221,Italian Serie B,Foggia,Cremonese,2018-12-14 15:00
222,German 2. Bundesliga,Holstein Kiel,Arminia Bielefeld,2018-12-14 12:30
223,German 2. Bundesliga,MSV Duisburg,Hamburg SV,2018-12-14 12:30
224,French Ligue 2,AS Nancy Lorraine,Troyes,2018-12-14 14:00
225,French Ligue 2,Brest,Beziers AS,2018-12-14 14:00
226,French Ligue 2,Chateauroux,AJ Auxerre,2018-12-14 14:00
227,French Ligue 2,Clermont Foot,Lens,2018-12-14 14:00
228,French Ligue 2,GFC Ajaccio,Le Havre AC,2018-12-14 14:00
229,French Ligue 2,Grenoble,Paris FC,2018-12-14 14:00
230,French Ligue 2,Lorient,Niort,2018-12-14 14:00
231,French Ligue 2,Orléans,AC Ajaccio,2018-12-14 14:00
232,French Ligue 2,Red Star FC 93,Sochaux,2018-12-14 14:00
233,French Ligue 2,Valenciennes,Metz,2018-12-14 14:00
234,Northern Irish Premiership,Glenavon,Coleraine,2018-12-14 14:45
235,Welsh Premier League,Bala Town,T.N.S.,2018-12-14 14:45
236,Welsh Premier League,Caernarfon,Aberystwyth,2018-12-14 14:45
237,Welsh Premier League,Cardiff MU,Llanelli,2018-12-14 14:45
238,Welsh Premier League,Carmarthen,Barry Town,2018-12-14 14:45
239,Welsh Premier League,Cefn Druids,Connah's Quay,2018-12-14 14:45
240,Dutch Eerste Divisie,Almere City,Jong Ajax,2018-12-14 14:00
241,Dutch Eerste Divisie,FC Eindhoven,RKC Waalwijk,2018-12-14 14:00
242,Dutch Eerste Divisie,FC Oss,Helmond Sport,2018-12-14 14:00
243,Dutch Eerste Divisie,Go Ahead Eagles,FC Den Bosch,2018-12-14 14:00
244,Dutch Eerste Divisie,Jong FC Utrecht,Dordrecht '90,2018-12-14 14:00
245,Dutch Eerste Divisie,NEC Nijmegen,MVV Maastricht,2018-12-14 14:00
246,Dutch Eerste Divisie,Roda JC Kerkrade,FC Volendam,2018-12-14 14:00
247,Dutch Eerste Divisie,SC Cambuur,FC Twente,2018-12-14 14:00
248,Dutch Eerste Divisie,SC Stormvogels Telstar,Jong PSV,2018-12-14 14:00
249,Dutch Eerste Divisie,Sparta Rotterdam,AZ Reserves,2018-12-14 14:00
250,Maltese Premier League,Gzira United,St Andrews,2018-12-14 13:00
251,Indian Super League,FC Goa,NorthEast United FC,2018-12-14 09:00
252,Indian I-League,Indian Arrows,Aizawl FC,2018-12-14 06:30
253,South African Premiership,Chippa United,Polokwane City FC,2018-12-14 13:00
254,English Premier League,Manchester City,Everton,2018-12-15 07:30
255,English Premier League,Crystal Palace,Leicester City,2018-12-15 10:00
256,English Premier League,Huddersfield Town,Newcastle United,2018-12-15 10:00
257,English Premier League,Tottenham Hotspur,Burnley,2018-12-15 10:00
258,English Premier League,Watford,Cardiff City,2018-12-15 10:00
259,English Premier League,Wolverhampton Wanderers,AFC Bournemouth,2018-12-15 10:00
260,English Premier League,Fulham,West Ham United,2018-12-15 12:30
261,Spanish Primera División,Getafe,Real Sociedad,2018-12-15 07:00
262,Spanish Primera División,Real Valladolid,Atletico Madrid,2018-12-15 10:15
263,Spanish Primera División,Real Madrid,Rayo Vallecano,2018-12-15 12:30
264,Spanish Primera División,Eibar,Valencia,2018-12-15 14:45
265,Italian Serie A,Internazionale,Udinese,2018-12-15 12:00
266,Italian Serie A,Torino,Juventus,2018-12-15 14:30
267,German Bundesliga,FC Augsburg,Schalke 04,2018-12-15 09:30
268,German Bundesliga,Fortuna Düsseldorf,SC Freiburg,2018-12-15 09:30
269,German Bundesliga,Hannover 96,Bayern Munich,2018-12-15 09:30
270,German Bundesliga,TSG Hoffenheim,Borussia Monchengladbach,2018-12-15 09:30
271,German Bundesliga,VfB Stuttgart,Hertha Berlin,2018-12-15 09:30
272,German Bundesliga,Borussia Dortmund,Werder Bremen,2018-12-15 12:30
273,French Ligue 1,Dijon FCO,Paris Saint-Germain,2018-12-15 11:00
274,French Ligue 1,Caen,Toulouse,2018-12-15 14:00
275,French Ligue 1,Nantes,Montpellier,2018-12-15 14:00
276,French Ligue 1,SC Amiens,Angers,2018-12-15 14:00
277,French Ligue 1,Stade de Reims,Strasbourg,2018-12-15 14:00
278,English League Championship,Aston Villa,Stoke City,2018-12-15 10:00
279,English League Championship,Blackburn Rovers,Birmingham City,2018-12-15 10:00
280,English League Championship,Bolton Wanderers,Leeds United,2018-12-15 10:00
281,English League Championship,Hull City,Brentford,2018-12-15 10:00
282,English League Championship,Ipswich Town,Wigan Athletic,2018-12-15 10:00
283,English League Championship,Preston North End,Millwall,2018-12-15 10:00
284,English League Championship,Queens Park Rangers,Middlesbrough,2018-12-15 10:00
285,English League Championship,Rotherham United,Reading,2018-12-15 10:00
286,English League Championship,Swansea City,Sheffield Wednesday,2018-12-15 10:00
287,English League Championship,Bristol City,Norwich City,2018-12-15 12:30
288,FIFA Club World Cup,Kashima Antlers,Guadalajara,2018-12-15 08:00
289,FIFA Club World Cup,Esperance Sportive de Tunis,TBD,2018-12-15 11:30
290,Dutch Eredivisie,PEC Zwolle,NAC Breda,2018-12-15 12:30
291,Dutch Eredivisie,AZ Alkmaar,Excelsior,2018-12-15 13:45
292,Dutch Eredivisie,SC Heracles Almelo,PSV Eindhoven,2018-12-15 13:45
293,Dutch Eredivisie,Vitesse Arnhem,VVV Venlo,2018-12-15 14:45
294,Portuguese Liga,Boavista,Tondela,2018-12-15 10:30
295,Portuguese Liga,GD Chaves,Moreirense,2018-12-15 10:30
296,Portuguese Liga,Desportivo Aves,Guimaraes,2018-12-15 13:00
297,Portuguese Liga,Santa Clara,FC Porto,2018-12-15 15:30
298,Scottish Premiership,Kilmarnock,Dundee,2018-12-15 10:00
299,Scottish Premiership,St Johnstone,Motherwell,2018-12-15 10:00
300,Scottish Premiership,St Mirren,Aberdeen,2018-12-15 10:00
301,Turkish Super Lig,Caykur Rizespor,Alanyaspor K,2018-12-15 05:30
302,Turkish Super Lig,Sivasspor,Ankaragucu,2018-12-15 05:30
303,Turkish Super Lig,Konyaspor,Kasimpasa,2018-12-15 08:00
304,Turkish Super Lig,Istanbul Basaksehir,Galatasaray,2018-12-15 11:00
305,Belgian First Division A,KV Kortrijk,Club Brugge,2018-12-15 12:00
306,Belgian First Division A,Eupen,Mouscron,2018-12-15 14:00
307,Belgian First Division A,KSC Lokeren,Sint-Truidense,2018-12-15 14:00
308,Belgian First Division A,Antwerp,Waasland-Beveren,2018-12-15 14:30
309,Greek Super League,Pas Giannina,Panionios,2018-12-15 10:15
310,Greek Super League,Aris,Panetolikos,2018-12-15 12:00
311,Greek Super League,Asteras Tripoli,OFI Crete,2018-12-15 12:30
312,Swiss Super League,FC Sion,FC Basel,2018-12-15 13:00
313,Swiss Super League,FC Thun,Grasshoppers,2018-12-15 13:00
314,Danish SAS-Ligaen,Randers FC,Vejle BK,2018-12-15 10:00
315,Austrian Bundesliga,FC Wacker Innsbruck,RZ Pellets WAC,2018-12-15 11:00
316,Austrian Bundesliga,LASK Linz,SV Mattersburg,2018-12-15 11:00
317,Austrian Bundesliga,SK Sturm Graz,FC Admira Wacker Modling,2018-12-15 11:00
318,Australian A-League,Wellington Phoenix FC,Central Coast Mariners,2018-12-15 01:35
319,Australian A-League,Western Sydney Wanderers,Sydney FC,2018-12-15 03:50
320,Israeli Premier League,Bnei Yehuda,Moadon Sport Ashdod,2018-12-15 10:00
321,Israeli Premier League,Hapoel Be'er,Hapoel Kiryat Shmona,2018-12-15 10:00
322,Israeli Premier League,Hapoel Ra'anana,Bnei Sakhnin,2018-12-15 10:00
323,Israeli Premier League,Hapoel Tel Aviv,Hapoel Hadera,2018-12-15 10:00
324,Israeli Premier League,Maccabi Netanya,Hapoel Haifa,2018-12-15 10:00
325,Romanian First Division,Voluntari,FK Astra Giurgiu,2018-12-15 07:00
326,Romanian First Division,Gaz Metan,Hermannstadt,2018-12-15 10:00
327,Romanian First Division,Dinamo Bucuresti,Universitatea Craiova,2018-12-15 13:00
328,Friendly,Flers,AG Caennaise,2018-12-15 12:00
329,English League One,Doncaster Rovers,Scunthorpe United,2018-12-15 07:15
330,English League One,Barnsley,Portsmouth,2018-12-15 10:00
331,English League One,Bradford City,Walsall,2018-12-15 10:00
332,English League One,Charlton Athletic,AFC Wimbledon,2018-12-15 10:00
333,English League One,Coventry City,Luton Town,2018-12-15 10:00
